,lon,lat
0,-106.76167840705375,48.105066120841144
1,-104.66781123340303,40.602296626030196
2,-94.89091086576914,39.63782727683094
3,-88.18426497260626,38.203212288803954
4,-94.22177709042077,42.09329719077521
5,-101.30154155304743,43.804615133092184
6,-92.77792636194775,42.44576698757581
7,-87.7729517138413,40.157605179231446
8,-83.21788806484645,39.5724176944508
9,-105.31103401056218,44.58843945654474
10,-98.48203136253144,38.451651468359614
11,-104.07895495927184,42.375180265734684
12,-99.54998608768125,38.482264090392825
13,-102.3708458375973,39.907801703368065
14,-102.21603652809245,44.61100636015857
15,-93.98808520507296,41.56002618172303
16,-81.83069183497523,37.71950644487642
17,-110.77935519795004,47.77466153060454
18,-85.73052911684324,39.77363898784007
19,-103.84953709696181,42.76534808749588
20,-95.60199819385448,43.52192936283433
21,-98.11013699536771,40.72177397466751
22,-99.50265185589046,46.455010402062825
23,-105.0486435030409,44.22016608756175
24,-92.65343526020077,44.20958113678646
25,-100.01131500859152,42.2346808071329
26,-105.63922998743682,47.00016158431376
27,-96.37617450192327,39.963969531351566
28,-99.86603315878776,43.76521387630893
29,-100.45657536514611,41.78739372997435
30,-82.843411906388,37.77397090227706
31,-108.01300858619517,44.260138704026524
32,-105.2447914587627,47.87973563588991
33,-89.177411186243,42.161831644339294
34,-103.95638278282703,41.753302377025946
35,-102.6697708858105,46.83382532003757
36,-104.23686584921242,45.7503149167958
37,-95.54336079097264,42.9604434390833
38,-98.02279578047073,42.69103581468386
39,-95.56008145836127,44.739315512936
40,-93.21743259389723,43.17121301371341
41,-102.68098634772171,40.24733506677199
42,-91.70732312634186,39.115416738141995
43,-105.16234715205523,41.25895003529638
44,-98.35941903810317,43.40803283901304
45,-107.03292522151702,45.50352057302308
46,-105.69731355647507,45.90753749196662
47,-100.64187892375602,43.51569786530638
48,-93.92110954112107,44.13335503859602
49,-92.38843292707239,43.8219808596633
50,-89.51269022717517,39.173896183676014
51,-92.73152039775798,40.24998348313859
52,-92.11686830950471,44.424391554828084
53,-97.6972149554347,43.88157540586856
54,-103.50991471540024,46.636030662675765
55,-95.79431117817245,38.963439147438464
56,-100.24895304690791,38.38481691239066
57,-94.62844139183463,43.33408910481516
58,-101.5974530070148,40.07773166122184
59,-92.23889131361916,42.5626608861873
